TimeUTC;TimeDK;RegionName;ConsumerCategory3;ConsumerCategory2;ConsumptionkWh
2024-12-31 13:00:00;2024-12-31 14:00:00;Region Midtjylland;Privat;Privat;400632,153000
2024-12-31 13:00:00;2024-12-31 14:00:00;Region Hovedstaden;Offentlige foretagender;Erhverv;92006,058000
2024-12-31 13:00:00;2024-12-31 14:00:00;Region Nordjylland;Privat;Privat;202810,382000
2024-12-31 13:00:00;2024-12-31 14:00:00;Region Midtjylland;Erhverv;Erhverv;719831,959000
2024-12-31 13:00:00;2024-12-31 14:00:00;Region Sjælland;Privat;Privat;309307,923000
2024-12-31 13:00:00;2024-12-31 14:00:00;Region Midtjylland;Offentlige foretagender;Erhverv;49709,618000
2024-12-31 13:00:00;2024-12-31 14:00:00;Region Syddanmark;Privat;Privat;373704,601000
2024-12-31 13:00:00;2024-12-31 14:00:00;Region Nordjylland;Erhverv;Erhverv;384001,443000
2024-12-31 13:00:00;2024-12-31 14:00:00;Region Nordjylland;Offentlige foretagender;Erhverv;25709,522000
2024-12-31 13:00:00;2024-12-31 14:00:00;Region Sjælland;Erhverv;Erhverv;334410,185000
2024-12-31 13:00:00;2024-12-31 14:00:00;Region Sjælland;Offentlige foretagender;Erhverv;36100,522000
2024-12-31 13:00:00;2024-12-31 14:00:00;Region Syddanmark;Erhverv;Erhverv;769291,411000
2024-12-31 13:00:00;2024-12-31 14:00:00;Region Syddanmark;Offentlige foretagender;Erhverv;46923,329000
2024-12-31 12:00:00;2024-12-31 13:00:00;Region Hovedstaden;Privat;Privat;427079,374000
2024-12-31 12:00:00;2024-12-31 13:00:00;Region Hovedstaden;Erhverv;Erhverv;559479,248000
2024-12-31 12:00:00;2024-12-31 13:00:00;Region Midtjylland;Privat;Privat;390378,186000
2024-12-31 12:00:00;2024-12-31 13:00:00;Region Hovedstaden;Offentlige foretagender;Erhverv;93620,267000
2024-12-31 12:00:00;2024-12-31 13:00:00;Region Nordjylland;Privat;Privat;200335,933000
